A27_005,A27_006,A27_007,A27_008,x,y,label
16201,富山市立,芝園小学校,富山市芝園町三丁目1-26,36.69715556,137.2038639,芝園小学校
16201,富山市立,西田地方小学校,富山市西田地方町一丁目1-25,36.68489167,137.2063667,西田地方小学校
16201,富山市立,中央小学校,富山市五番町4-35,36.68697222,137.2194472,中央小学校
16201,富山市立,柳町小学校,富山市柳町四丁目2-26,36.694425,137.2232472,柳町小学校
16201,富山市立,桜谷小学校,富山市田刈屋279,36.70845,137.1990556,桜谷小学校
16201,富山市立,五福小学校,富山市五福4431-2,36.70225833,137.1845528,五福小学校
16201,富山市立,奥田小学校,富山市奥田双葉町10-18,36.70853889,137.2208583,奥田小学校
16201,富山市立,奥田北小学校,富山市下新北町3-72,36.71934722,137.2205806,奥田北小学校
16201,富山市立,東部小学校,富山市石金一丁目5-44,36.690225,137.2353889,東部小学校
16201,富山市立,新庄小学校,富山市新庄町一丁目6-30,36.70201111,137.2518167,新庄小学校
16201,富山市立,新庄北小学校,富山市新庄本町二丁目4-11,36.71112778,137.2633611,新庄北小学校
16201,富山市立,藤ノ木小学校,富山市藤木1246,36.68690278,137.2682028,藤ノ木小学校
16201,富山市立,岩瀬小学校,富山市岩瀬御蔵町1,36.75412222,137.2304528,岩瀬小学校
16201,富山市立,針原小学校,富山市針原中町523-1,36.72967222,137.2678556,針原小学校
16201,富山市立,浜黒崎小学校,富山市浜黒崎3301-2,36.75837222,137.2786389,浜黒崎小学校
16201,富山市立,大広田小学校,富山市田畑183,36.75441389,137.2528167,大広田小学校
16201,富山市立,豊田小学校,富山市米田2-1,36.73016389,137.242025,豊田小学校
16201,富山市立,広田小学校,富山市鍋田22-53,36.71330278,137.2468528,広田小学校
16201,富山市立,神明小学校,富山市高田147-2,36.68628056,137.1845583,神明小学校
16201,富山市立,堀川小学校,富山市堀川小泉町一丁目13-10,36.67700278,137.2208444,堀川小学校
16201,富山市立,堀川南小学校,富山市本郷町282-3,36.66366667,137.2304556,堀川南小学校
16201,富山市立,光陽小学校,富山市二口町一丁目4-1,36.67307778,137.203725,光陽小学校
16201,富山市立,山室小学校,富山市中市二丁目10-5,36.67844167,137.2399083,山室小学校
16201,富山市立,山室中部小学校,富山市山室荒屋162-2,36.67179167,137.2535083,山室中部小学校
16201,富山市立,蜷川小学校,富山市赤田75-1,36.65435278,137.2226028,蜷川小学校
16201,富山市立,太田小学校,富山市太田14-2,36.65396667,137.2506333,太田小学校
16201,富山市立,萩浦小学校,富山市高畠町二丁目11-28,36.74643611,137.2297583,萩浦小学校
16201,富山市立,熊野小学校,富山市宮保602,36.62931111,137.2204944,熊野小学校
16201,富山市立,月岡小学校,富山市上千俵町500,36.62284167,137.2533139,月岡小学校
16201,富山市立,新保小学校,富山市任海888-2,36.63460278,137.1946222,新保小学校
16201,富山市立,四方小学校,富山市四方405,36.754875,137.1953944,四方小学校
16201,富山市立,八幡小学校,富山市八幡670,36.74090278,137.1963222,八幡小学校
16201,富山市立,草島小学校,富山市草島93,36.74530833,137.2080222,草島小学校
16201,富山市立,倉垣小学校,富山市布目4002,36.74906944,137.191175,倉垣小学校
16201,富山市立,呉羽小学校,富山市呉羽町6171,36.71398889,137.1689361,呉羽小学校
16201,富山市立,長岡小学校,富山市長岡9420,36.71975833,137.1891194,長岡小学校
16201,富山市立,寒江小学校,富山市本郷中部427,36.729525,137.1529861,寒江小学校
16201,富山市立,老田小学校,富山市中老田317,36.70788333,137.1318,老田小学校
16201,富山市立,古沢小学校,富山市古沢501,36.69152778,137.14165,古沢小学校
16201,富山市立,池多小学校,富山市西押川1442,36.68286667,137.1200556,池多小学校
16201,富山市立,水橋中部小学校,富山市水橋町568,36.75246389,137.3061917,水橋中部小学校
16201,富山市立,水橋西部小学校,富山市水橋辻ヶ堂1919-2,36.75212222,137.3000056,水橋西部小学校
16201,富山市立,水橋東部小学校,富山市水橋上桜木114,36.73976667,137.3246806,水橋東部小学校
16201,富山市立,三郷小学校,富山市水橋小路345,36.7208,137.2934694,三郷小学校
16201,富山市立,上条小学校,富山市水橋石割99,36.72619722,137.3142833,上条小学校
16201,富山市立,大沢野小学校,富山市高内144,36.57761389,137.2066194,大沢野小学校
16201,富山市立,大久保小学校,富山市下大久保2430,36.60423611,137.2043639,大久保小学校
16201,富山市立,船峅小学校,富山市坂本1733,36.58581111,137.2245778,船峅小学校
16201,富山市立,上滝小学校,富山市上滝517,36.60957222,137.3010167,上滝小学校
16201,富山市立,大庄小学校,富山市善名453,36.61879444,137.2794194,大庄小学校
16201,富山市立,福沢小学校,富山市東福沢46-4,36.60352222,137.2570611,福沢小学校
16201,富山市立,小見小学校,富山市小見250,36.574375,137.384075,小見小学校
16201,富山市立,八尾小学校,富山市八尾町下笹原5320,36.57635,137.1384583,八尾小学校
16201,富山市立,杉原小学校,富山市八尾町黒田3636,36.60024722,137.1628833,杉原小学校
16201,富山市立,保内小学校,富山市八尾町高善寺162,36.61103056,137.1372556,保内小学校
16201,富山市立,樫尾小学校,富山市八尾町小長谷349,36.57578611,137.1551667,樫尾小学校
16201,富山市立,速星小学校,富山市婦中町速星752,36.66072222,137.1599889,速星小学校
16201,富山市立,鵜坂小学校,富山市婦中町上田島68,36.66901944,137.175525,鵜坂小学校
16201,富山市立,朝日小学校,富山市婦中町下条5518,36.67699167,137.1518389,朝日小学校
16201,富山市立,宮野小学校,富山市婦中町地角399,36.63006667,137.1714167,宮野小学校
16201,富山市立,古里小学校,富山市婦中町羽根43,36.65600278,137.1282944,古里小学校
16201,富山市立,音川小学校,富山市婦中町外輪野5959,36.62967778,137.094475,音川小学校
16201,富山市立,神保小学校,富山市婦中町高日附820,36.63715556,137.1351833,神保小学校
16201,富山市立,山田小学校,富山市山田北山41,36.58440556,137.0807306,山田小学校
16201,富山市立,神通碧小学校,富山市楡原405,36.53564444,137.2331944,神通碧小学校
16201,富山市立,浜黒崎小学校松風分校,富山市針日225,36.759725,137.2604611,浜黒崎小学校松風分校
