HID,Type,Kodomo,Name,Label,AgeS,AgeE,Full,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Add1,Add2,TEL,FAX,Owner,Ownership,Proof,Shanai,Y,X,url,Vacancy,VacancyDate
T-101,幼稚園,,月岡幼稚園,月岡幼稚園,3,就学前,190,,,,,,,,,富山市,上千俵508,076-429-4959,,,,,,36.62276111,137.253375,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-102,幼稚園,,呉羽幼稚園,呉羽幼稚園,4,就学前,140,,,,,,,,,富山市,呉羽町1877-4,076-436-6711,,,,,,36.71771944,137.1661556,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-103,幼稚園,,水橋幼稚園,水橋幼稚園,3,就学前,105,,,,,,,,,富山市,水橋舘町390-13,076-478-0568,,,,,,36.75154444,137.3082139,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-104,幼稚園,,愛宕幼稚園,愛宕幼稚園,4,就学前,140,,,,,,,,,富山市,牛島本町二丁目5-14,076-432-8625,,,,,,36.70556389,137.2087639,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-105,幼稚園,,大沢野幼稚園,大沢野幼稚園,3,就学前,105,,,,,,,,,富山市,高内144,076-468-2050,,,,,,36.57761389,137.2066194,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-106,幼稚園,,大久保幼稚園,大久保幼稚園,3,就学前,190,,,,,,,,,富山市,下大久保311,076-468-0516,,,,,,36.60484722,137.2131,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-107,幼稚園,,大庄幼稚園,大庄幼稚園,3,就学前,95,,,,,,,,,富山市,善名453,076-483-1772,,,,,,36.61879444,137.2794194,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-108,幼稚園,,速星幼稚園,速星幼稚園,3,就学前,95,,,,,,,,,富山市,婦中町速星706-1,076-465-2183,,,,,,36.659375,137.1591528,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-109,幼稚園,,新保なかよし認定こども園,新保なかよし認定こども園,1,就学前,250,,,,,,,,,富山市,任海463,076-429-5885,,,,,,36.63489444,137.1955389,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-110,幼稚園,,アームストロング青葉幼稚園,アームストロング青葉幼稚園,,就学前,230,,,,,,,,,富山市,総曲輪四丁目4-1,076-421-4090,,,,,,36.69095,137.2092083,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-111,幼稚園,,徳風幼稚園,徳風幼稚園,,就学前,330,,,,,,,,,富山市,総曲輪二丁目7-12,076-421-4045,,,,,,36.69060556,137.2141028,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-112,幼稚園,,富山幼稚園,富山幼稚園,,就学前,200,,,,,,,,,富山市,梅沢町三丁目19-27,076-421-5000,,,,,,36.68275833,137.2209056,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-113,幼稚園,,藤園幼稚園,藤園幼稚園,,就学前,160,,,,,,,,,富山市,赤江町6-7,076-432-2292,,,,,,36.70024167,137.2185917,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
