N02_001,N02_002,line,company,station_name,shubetsu,lon,lat
11,1,JR高山本線,JR西日本,猪谷,JR西日本,137.237975,36.471625
11,1,JR高山本線,JR西日本,楡原,JR西日本,137.22872,36.529323
11,1,JR高山本線,JR西日本,笹津,JR西日本,137.211437,36.562129
11,1,JR高山本線,JR西日本,東八尾,JR西日本,137.174978,36.589645
11,1,JR高山本線,JR西日本,越中八尾,JR西日本,137.138379,36.591391
11,1,JR高山本線,JR西日本,千里,JR西日本,137.132396,36.634678
11,1,JR高山本線,JR西日本,速星,JR西日本,137.160428,36.664135
11,1,JR高山本線,JR西日本,婦中鵜坂,JR西日本,137.167625,36.676084
11,1,JR高山本線,JR西日本,西富山,JR西日本,137.177029,36.699331
11,1,ＪR北陸新幹線,JR西日本,富山,JR西日本,137.213091,36.701384
11,1,ＪR北陸新幹線,JR西日本,新高岡,JR西日本,137.010459,36.727004
12,2,富山地方鉄道線,富山地方鉄道,電鉄富山,富山地方鉄道,137.214163,36.700757
12,2,富山地方鉄道線,富山地方鉄道,稲荷町,富山地方鉄道,137.231247,36.696597
12,2,富山地方鉄道線,富山地方鉄道,新庄田中,富山地方鉄道,137.241417,36.697972
12,2,富山地方鉄道線,富山地方鉄道,東新庄,富山地方鉄道,137.253021,36.698644
12,2,富山地方鉄道線,富山地方鉄道,越中荏原,富山地方鉄道,137.266222,36.698978
12,2,富山地方鉄道線,富山地方鉄道,越中三郷,富山地方鉄道,137.290792,36.703309
12,2,富山地方鉄道線,富山地方鉄道,新相ノ木,富山地方鉄道,137.342278,36.703128
12,2,富山地方鉄道線,富山地方鉄道,新黒部,富山地方鉄道,137.4801774,36.87316273
12,2,富山地方鉄道線,富山地方鉄道,釜ヶ淵,富山地方鉄道,137.319288,36.633317
12,2,富山地方鉄道線,富山地方鉄道,有峰口,富山地方鉄道,137.380218,36.573066
12,2,富山地方鉄道線,富山地方鉄道,本宮,富山地方鉄道,137.395716,36.574919
12,2,富山地方鉄道線,富山地方鉄道,電鉄富山,富山地方鉄道,137.214163,36.700757
12,2,富山地方鉄道線,富山地方鉄道,稲荷町,富山地方鉄道,137.231247,36.696597
12,2,富山地方鉄道線,富山地方鉄道,栄町,富山地方鉄道,137.233333,36.691389
12,2,富山地方鉄道線,富山地方鉄道,不二越,富山地方鉄道,137.232453,36.687848
12,2,富山地方鉄道線,富山地方鉄道,大泉,富山地方鉄道,137.228979,36.677719
12,2,富山地方鉄道線,富山地方鉄道,南富山,富山地方鉄道,137.2205,36.670406
